 Calculate D1:
     imode          Freq(cm-1)             D(a.u.)          Huang_Rhys  Reog. Energy(cm-1)
        62        1071.7300000           0.1308900           0.0000418           0.0448301
        56        1041.0600000           0.1275300           0.0000386           0.0401571
        18         361.0100000          -0.1261500           0.0000131           0.0047250
        94        3230.4000000          -0.1130000           0.0000940           0.3035674
       100        3257.8400000          -0.1026100           0.0000781           0.2545802
        16         349.2500000          -0.0832600           0.0000055           0.0019263
       102        3276.7800000          -0.0737600           0.0000406           0.1330828
        17         360.5900000           0.0714300           0.0000042           0.0015114
         2          51.0600000          -0.0697500           0.0000006           0.0000289
        24         440.9700000           0.0629400           0.0000040           0.0017549
        26         683.2000000           0.0576300           0.0000052           0.0035317
       103        3277.8000000          -0.0571200           0.0000244           0.0798596
        63        1071.8700000          -0.0555300           0.0000075           0.0080710
        55        1040.7800000           0.0480400           0.0000055           0.0056952
         3          92.1300000          -0.0424500           0.0000004           0.0000348
        31         729.8800000          -0.0407900           0.0000028           0.0020193
        27         689.5200000          -0.0388800           0.0000024           0.0016373
        91        1650.5300000          -0.0374100           0.0000053           0.0086858
        99        3257.6900000           0.0371800           0.0000103           0.0334213
        80        1453.4800000          -0.0366400           0.0000044           0.0064612
        96        3231.0400000           0.0355200           0.0000093           0.0300066
         8         216.8600000          -0.0342900           0.0000006           0.0001260
        33         733.5400000           0.0278000           0.0000013           0.0009474
        70        1221.3900000           0.0276100           0.0000021           0.0025908
        42         815.1900000           0.0275400           0.0000014           0.0011482
        20         401.7100000           0.0260500           0.0000006           0.0002495
         5         150.2200000          -0.0256600           0.0000002           0.0000338
        30         716.3800000          -0.0236700           0.0000009           0.0006550
        81        1453.5100000           0.0221300           0.0000016           0.0023571
        29         704.0200000           0.0218500           0.0000008           0.0005391
        97        3231.1300000           0.0207300           0.0000032           0.0102210
        23         440.9700000          -0.0207000           0.0000004           0.0001898
        41         815.1400000           0.0181100           0.0000006           0.0004965
        68        1185.6300000          -0.0177500           0.0000009           0.0010090
         1          48.3800000           0.0148800           0.0000000           0.0000012
        37         766.9800000           0.0145000           0.0000004           0.0002818
        59        1057.9600000          -0.0136200           0.0000004           0.0004730
        60        1058.0200000          -0.0117900           0.0000003           0.0003545
        71        1296.6900000           0.0108600           0.0000003           0.0004518
        38         797.7600000           0.0107500           0.0000002           0.0001676
        39         806.9200000           0.0099100           0.0000002           0.0001457
        32         729.8900000           0.0092900           0.0000001           0.0001047
        19         401.5100000           0.0086300           0.0000001           0.0000274
        43         815.7800000           0.0085400           0.0000001           0.0001106
        90        1650.4900000          -0.0080600           0.0000002           0.0004032
       104        3277.8600000          -0.0074200           0.0000004           0.0013476
       101        3257.8900000          -0.0056100           0.0000002           0.0007610
        83        1520.9500000           0.0056100           0.0000001           0.0001659
        48         883.7000000          -0.0053700           0.0000001           0.0000513
        25         485.0700000          -0.0051500           0.0000000           0.0000142
        40         806.9300000           0.0051000           0.0000000           0.0000386
        72        1296.7900000           0.0048200           0.0000001           0.0000890
        46         874.7100000           0.0043200           0.0000000           0.0000325
        87        1618.0200000          -0.0038600           0.0000001           0.0000889
        67        1185.5000000          -0.0037200           0.0000000           0.0000443
        51         942.0900000           0.0032800           0.0000000           0.0000218
        28         689.5200000           0.0032000           0.0000000           0.0000111
        73        1371.5000000           0.0028600           0.0000000           0.0000351
        36         766.9500000          -0.0026000           0.0000000           0.0000091
       105        3278.0000000           0.0025100           0.0000000           0.0001542
        53         944.2800000           0.0023000           0.0000000           0.0000107
        49         892.0700000           0.0022100           0.0000000           0.0000089
        82        1520.9400000           0.0017400           0.0000000           0.0000160
        74        1371.5200000           0.0012700           0.0000000           0.0000069
        47         883.7000000           0.0006800           0.0000000           0.0000008
        52         942.1000000           0.0003000           0.0000000           0.0000002
        88        1618.0300000          -0.0002700           0.0000000           0.0000004
        50         938.2600000          -0.0001800           0.0000000           0.0000001
 Total number is :       105
 Calculate D2:
        18         364.2000000         -20.3107400           0.3422765         124.6571099
         6         191.8600000          20.1707900           0.1778345          34.1193205
        79        1426.0000000          -7.6616800           0.1907011         271.9397831
        36         750.9700000           6.1432200           0.0645655          48.4867406
        59        1043.8600000           5.3859300           0.0689842          72.0097990
        77        1405.7100000           5.0318100           0.0810830         113.9792025
        88        1529.6400000           4.5754500           0.0729529         111.5916679
        71        1222.2900000           3.2232900           0.0289307          35.3616854
        61        1060.6500000           2.9774600           0.0214215          22.7207018
        64        1076.0900000          -2.5600300           0.0160666          17.2891236
        58        1043.8100000          -2.4566100           0.0143509          14.9796275
        90        1600.8900000          -2.1796600           0.0173271          27.7387042
        91        1656.6700000          -2.1733000           0.0178263          29.5322851
        35         738.9500000           1.6436600           0.0045480           3.3607775
        55        1029.6500000          -1.2693300           0.0037794           3.8914729
        82        1459.2300000           0.1361400           0.0000616           0.0899093
        96        3228.2300000          -0.1104200           0.0000897           0.2894744
        80        1426.7700000           0.0693600           0.0000156           0.0223106
         9         214.7000000           0.0410000           0.0000008           0.0001765
        17         353.9200000          -0.0318700           0.0000008           0.0002898
       103        3275.8700000           0.0315200           0.0000074           0.0242891
        60        1059.3800000          -0.0307100           0.0000023           0.0024113
        65        1078.8900000           0.0270900           0.0000018           0.0019461
       102        3275.7900000          -0.0254400           0.0000048           0.0158217
       104        3279.1300000          -0.0227700           0.0000039           0.0127007
        57        1036.1700000           0.0185900           0.0000008           0.0008453
        16         347.7000000          -0.0138400           0.0000002           0.0000528
        15         332.9400000          -0.0127400           0.0000001           0.0000410
        11         250.8100000           0.0109300           0.0000001           0.0000171
        89        1596.4300000          -0.0104600           0.0000004           0.0006353
        62        1065.6200000           0.0100400           0.0000002           0.0002608
        12         253.8600000          -0.0100000           0.0000001           0.0000147
        66        1090.3600000           0.0099000           0.0000002           0.0002655
        22         407.0300000           0.0096200           0.0000001           0.0000349
        19         391.9600000           0.0094000           0.0000001           0.0000309
         8         214.5200000           0.0086900           0.0000000           0.0000079
        38         765.7300000          -0.0073900           0.0000001           0.0000730
        97        3228.3800000           0.0065800           0.0000003           0.0010280
        24         416.7200000          -0.0064000           0.0000000           0.0000162
        23         408.3500000           0.0060200           0.0000000           0.0000138
        95        3227.8700000           0.0059900           0.0000003           0.0008517
        39         775.6700000          -0.0051700           0.0000000           0.0000366
        37         756.3500000           0.0048800           0.0000000           0.0000310
       105        3279.2100000           0.0037600           0.0000001           0.0003463
        34         722.2100000           0.0036800           0.0000000           0.0000161
        75        1330.9700000           0.0034300           0.0000000           0.0000475
        86        1516.1900000          -0.0033900           0.0000000           0.0000602
        63        1072.9800000          -0.0033400           0.0000000           0.0000293
        20         393.5600000          -0.0029300           0.0000000           0.0000030
        87        1522.6300000           0.0027700           0.0000000           0.0000405
        31         701.8500000          -0.0027100           0.0000000           0.0000082
        76        1380.3300000           0.0025000           0.0000000           0.0000271
        78        1415.3300000           0.0022900           0.0000000           0.0000239
        14         296.8800000           0.0021400           0.0000000           0.0000009
         7         208.7500000          -0.0020600           0.0000000           0.0000004
        67        1137.9800000           0.0017900           0.0000000           0.0000095
        72        1268.1100000           0.0017400           0.0000000           0.0000111
        74        1316.3100000           0.0016200           0.0000000           0.0000104
        81        1445.2700000           0.0015500           0.0000000           0.0000114
         1          43.3000000          -0.0014400           0.0000000           0.0000000
        85        1507.6100000           0.0011300           0.0000000           0.0000066
        43         815.5600000           0.0011100           0.0000000           0.0000019
        45         825.3400000          -0.0010700           0.0000000           0.0000018
        56        1033.7900000          -0.0010600           0.0000000           0.0000027
        83        1463.8600000           0.0010300           0.0000000           0.0000052
        25         458.0100000           0.0009800           0.0000000           0.0000005
        44         816.6800000           0.0009000           0.0000000           0.0000012
        52         894.1200000          -0.0008900           0.0000000           0.0000014
        10         232.7700000           0.0008800           0.0000000           0.0000001
        73        1299.5100000           0.0006900           0.0000000           0.0000018
         4         136.4500000          -0.0006100           0.0000000           0.0000000
        70        1183.0000000           0.0006000           0.0000000           0.0000011
         2          44.1700000           0.0005500           0.0000000           0.0000000
        29         674.7600000          -0.0005400           0.0000000           0.0000003
        94        3224.6400000           0.0004900           0.0000000           0.0000057
        93        1698.0500000           0.0004600           0.0000000           0.0000014
         3         102.7300000           0.0004600           0.0000000           0.0000000
        30         678.3000000           0.0004000           0.0000000           0.0000002
         5         143.9800000           0.0003900           0.0000000           0.0000000
        26         573.9300000          -0.0003900           0.0000000           0.0000001
        92        1668.0800000           0.0003500           0.0000000           0.0000008
        54         941.5900000           0.0003500           0.0000000           0.0000002
        13         274.6400000           0.0003300           0.0000000           0.0000000
        84        1488.1700000           0.0003100           0.0000000           0.0000005
        33         713.4900000          -0.0002800           0.0000000           0.0000001
        53         941.4300000          -0.0002700           0.0000000           0.0000001
       101        3259.1600000           0.0002300           0.0000000           0.0000013
        46         836.4100000           0.0001800           0.0000000           0.0000001
        21         404.5100000           0.0001700           0.0000000           0.0000000
        47         848.2800000          -0.0001500           0.0000000           0.0000000
        68        1171.6100000          -0.0001400           0.0000000           0.0000001
        41         788.8000000          -0.0001200           0.0000000           0.0000000
        28         667.4800000          -0.0001200           0.0000000           0.0000000
        48         852.9700000          -0.0001100           0.0000000           0.0000000
        98        3258.7100000          -0.0001100           0.0000000           0.0000003
        42         802.4700000          -0.0001000           0.0000000           0.0000000
        51         884.9100000          -0.0000800           0.0000000           0.0000000
        50         883.1800000          -0.0000700           0.0000000           0.0000000
        69        1179.1700000           0.0000600           0.0000000           0.0000000
        40         775.9000000           0.0000600           0.0000000           0.0000000
       100        3259.0000000          -0.0000500           0.0000000           0.0000001
        49         863.3900000           0.0000500           0.0000000           0.0000000
        27         663.4500000           0.0000500           0.0000000           0.0000000
        32         705.2100000           0.0000100           0.0000000           0.0000000
        99        3258.9700000          -0.0000100           0.0000000           0.0000000
 Total number is :       105
   1      0.0148800     -0.0014400      0.0134400      1.0000000
   2     -0.0697500      0.0005500     -0.0692000      1.0000000
   3     -0.0424500      0.0004600     -0.0419900      1.0000000
   4     -0.1568800     -0.0006100     -0.1574900      1.0000000
   5     -0.0256600      0.0003900     -0.0252700      1.0000000
   6    -13.4535400     20.1707900      6.7172500      1.0000000
   7      0.1946100     -0.0020600      0.1925500      1.0000000
   8     -0.0342900      0.0086900     -0.0256000      1.0000000
   9    -10.9829200      0.0410000    -10.9419200      1.0000000
  10     -0.9125900      0.0008800     -0.9117100      1.0000000
  11      0.6372300      0.0109300      0.6481600      1.0000000
  12     -1.1043600     -0.0100000     -1.1143600      1.0000000
  13     -0.4482900      0.0003300     -0.4479600      1.0000000
  14    -20.0339500      0.0021400    -20.0318100      1.0000000
  15      0.1697200     -0.0127400      0.1569800      1.0000000
  16     -0.0832600     -0.0138400     -0.0971000      1.0000000
  17      0.0714300     -0.0318700      0.0395600      1.0000000
  18     -0.1261500    -20.3107400    -20.4368900      1.0000000
  19      0.0086300      0.0094000      0.0180300      1.0000000
  20      0.0260500     -0.0029300      0.0231200      1.0000000
  21     -5.0236700      0.0001700     -5.0235000      1.0000000
  22    -10.8112200      0.0096200    -10.8016000      1.0000000
  23     -0.0207000      0.0060200     -0.0146800      1.0000000
  24      0.0629400     -0.0064000      0.0565400      1.0000000
  25     -0.0051500      0.0009800     -0.0041700      1.0000000
  26      0.0576300     -0.0003900      0.0572400      1.0000000
  27     -0.0388800      0.0000500     -0.0388300      1.0000000
  28      0.0032000     -0.0001200      0.0030800      1.0000000
  29      0.0218500     -0.0005400      0.0213100      1.0000000
  30     -0.0236700      0.0004000     -0.0232700      1.0000000
  31     -0.0407900     -0.0027100     -0.0435000      1.0000000
  32      0.0092900      0.0000100      0.0093000      1.0000000
  33      0.0278000     -0.0002800      0.0275200      1.0000000
  34      0.7318200      0.0036800      0.7355000      1.0000000
  35      4.1192500      1.6436600      5.7629100      1.0000000
  36     -0.0026000      6.1432200      6.1406200      1.0000000
  37      0.0145000      0.0048800      0.0193800      1.0000000
  38      0.0107500     -0.0073900      0.0033600      1.0000000
  39      0.0099100     -0.0051700      0.0047400      1.0000000
  40      0.0051000      0.0000600      0.0051600      1.0000000
  41      0.0181100     -0.0001200      0.0179900      1.0000000
  42      0.0275400     -0.0001000      0.0274400      1.0000000
  43      0.0085400      0.0011100      0.0096500      1.0000000
  44     -2.8895300      0.0009000     -2.8886300      1.0000000
  45     -2.8887100     -0.0010700     -2.8897800      1.0000000
  46      0.0043200      0.0001800      0.0045000      1.0000000
  47      0.0006800     -0.0001500      0.0005300      1.0000000
  48     -0.0053700     -0.0001100     -0.0054800      1.0000000
  49      0.0022100      0.0000500      0.0022600      1.0000000
  50     -0.0001800     -0.0000700     -0.0002500      1.0000000
  51      0.0032800     -0.0000800      0.0032000      1.0000000
  52      0.0003000     -0.0008900     -0.0005900      1.0000000
  53      0.0023000     -0.0002700      0.0020300      1.0000000
  54      0.9062100      0.0003500      0.9065600      1.0000000
  55      0.0480400     -1.2693300     -1.2212900      1.0000000
  56      0.1275300     -0.0010600      0.1264700      1.0000000
  57     -3.1002100      0.0185900     -3.0816200      1.0000000
  58      2.2239000     -2.4566100     -0.2327100      1.0000000
  59     -0.0136200      5.3859300      5.3723100      1.0000000
  60     -0.0117900     -0.0307100     -0.0425000      1.0000000
  61     -2.9706200      2.9774600      0.0068400      1.0000000
  62      0.1308900      0.0100400      0.1409300      1.0000000
  63     -0.0555300     -0.0033400     -0.0588700      1.0000000
  64     -2.8490700     -2.5600300     -5.4091000      1.0000000
  65      3.7054000      0.0270900      3.7324900      1.0000000
  66      1.7624500      0.0099000      1.7723500      1.0000000
  67     -0.0037200      0.0017900     -0.0019300      1.0000000
  68     -0.0177500     -0.0001400     -0.0178900      1.0000000
  69      2.2981700      0.0000600      2.2982300      1.0000000
  70      0.0276100      0.0006000      0.0282100      1.0000000
  71      0.0108600      3.2232900      3.2341500      1.0000000
  72      0.0048200      0.0017400      0.0065600      1.0000000
  73      0.0028600      0.0006900      0.0035500      1.0000000
  74      0.0012700      0.0016200      0.0028900      1.0000000
  75     -0.7869600      0.0034300     -0.7835300      1.0000000
  76      3.7671700      0.0025000      3.7696700      1.0000000
  77      3.2545000      5.0318100      8.2863100      1.0000000
  78      4.1920100      0.0022900      4.1943000      1.0000000
  79      1.6806500     -7.6616800     -5.9810300      1.0000000
  80     -0.0366400      0.0693600      0.0327200      1.0000000
  81      0.0221300      0.0015500      0.0236800      1.0000000
  82      0.0017400      0.1361400      0.1378800      1.0000000
  83      0.0056100      0.0010300      0.0066400      1.0000000
  84      0.7734500      0.0003100      0.7737600      1.0000000
  85      0.5438800      0.0011300      0.5450100      1.0000000
  86     -3.8655800     -0.0033900     -3.8689700      1.0000000
  87     -0.0038600      0.0027700     -0.0010900      1.0000000
  88     -0.0002700      4.5754500      4.5751800      1.0000000
  89     -4.1822600     -0.0104600     -4.1927200      1.0000000
  90     -0.0080600     -2.1796600     -2.1877200      1.0000000
  91     -0.0374100     -2.1733000     -2.2107100      1.0000000
  92      1.9420300      0.0003500      1.9423800      1.0000000
  93     -4.1060900      0.0004600     -4.1056300      1.0000000
  94     -0.1130000      0.0004900     -0.1125100      1.0000000
  95     -0.3988700      0.0059900     -0.3928800      1.0000000
  96      0.0355200     -0.1104200     -0.0749000      1.0000000
  97      0.0207300      0.0065800      0.0273100      1.0000000
  98     -0.4762600     -0.0001100     -0.4763700      1.0000000
  99      0.0371800     -0.0000100      0.0371700      1.0000000
 100     -0.1026100     -0.0000500     -0.1026600      1.0000000
 101     -0.0056100      0.0002300     -0.0053800      1.0000000
 102     -0.0737600     -0.0254400     -0.0992000      1.0000000
 103     -0.0571200      0.0315200     -0.0256000      1.0000000
 104     -0.0074200     -0.0227700     -0.0301900      1.0000000
 105      0.0025100      0.0037600      0.0062700      1.0000000
 Adiabatic Energy             is:       13745.44372 cm-1

 Zero point energy of state 1 is:       60954.07000 cm-1

 Zero point energy of state 2 is:       59804.86000 cm-1

 E0-0                         is:       12596.23372 cm-1

 DE0-0                        is:       -1149.21000 cm-1

 Reorganiztion Energy 1       is:         911.79554 cm-1

 Reorganiztion Energy 2       is:         932.12227 cm-1

 Vertical Energy      1       is:       14677.56599 cm-1

 Vertical Energy      2       is:       12833.64818 cm-1
  Spectra overlap integral = I ( Energy^-1 )
  I^-1 =     1.21014147E+00 Hartree =    2.65595352E+05 cm-1 =   3.29296389E+01 eV

radiative rate     (0):     8.40676931E-16    3.47547389E+01 /s,     2.87731E+07 ns
radiative rate     (1):     1.98677306E-16    8.21359267E+00 /s,     1.21749E+08 ns
radiative rate     (2):     6.12066063E-14    2.53036516E+03 /s,     3.95200E+05 ns
radiative rate (total):     6.22459606E-14    2.57333349E+03 /s,     3.88601E+05 ns
